,title,genres,keywords,cast,director,images
0,Avatar,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron,/jlQJDD0L5ZojjlS0KYnApdO0n19.jpg
1,Pirates of the Caribbean: At World's End,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski,/3Au8rkDVsRK2AT4jq9dg6jH6buy.jpg
2,Spectre,Action Adventure Crime,spy based on novel secret agent sequel mi6,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes,/tXhi8m3SsWc5R93n5S4POSNQGDq.jpg
3,The Dark Knight Rises,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan,/cKPfiu9IcCW0fMdKdQBXe3PRtTZ.jpg
4,John Carter,Action Adventure Science Fiction,based on novel mars medallion space travel princess,Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton,/ubNevniKd5NYo60DqYIQ29T0uyB.jpg
5,Spider-Man 3,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi,/6MQmtWk4cFwSDyNvIgoJRBIHUT3.jpg
6,Tangled,Animation Family,hostage magic horse fairy tale musical,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard,/i25Qs826elaSSBrAtJMVO3mfuZB.jpg
7,Avengers: Age of Ultron,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon,/xnqust9Li4oxfhXD5kcPi3UC8i4.jpg
8,Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates,/kT8bDEAgEYBKhRJtqM97qTw6uRW.jpg
9,Batman v Superman: Dawn of Justice,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder,/dasEWdFNSobYvY8xWcfz3z02kTu.jpg
10,Superman Returns,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer,/8eRscFbRYl681zDfkjv1jjW1KAA.jpg
11,Quantum of Solace,Adventure Action Thriller Crime,killing undercover secret agent british secret service,Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster,/3CqMIX3ZlrD0pU3fpBL6DM0Cneb.jpg
12,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski,/8zfRLCgKrLAc5SSnACz8ZqmeKAP.jpg
13,The Lone Ranger,Action Adventure Western,texas horse survivor texas ranger partner,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski,/esxoiZoDQydeyEX1tJcSbuigI3a.jpg
14,Man of Steel,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder,/69EFgWWPFWbRNHmQgYdSnyJ94Ge.jpg
15,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson,/9pBv1BOSloAUgAkF0meJWdnbV4Q.jpg
16,The Avengers,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon,/nNmJRkg8wWnRmzQDe2FwKbPIsJV.jpg
17,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,sea captain mutiny sword prime minister,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall,/uzIGtyS6bbnJzGsPL93WCF1FWm8.jpg
18,Men in Black 3,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future,Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson,Barry Sonnenfeld,/44mAbdjGrJJQ4hzkKx2Z2EsninZ.jpg
19,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien),Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,/zn13a7U9eMTJq8sHthe3bCgsVm4.jpg
20,The Amazing Spider-Man,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment,Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott,Marc Webb,/sLWUtbrpiLp23a0XDSiUiltdFPJ.jpg
21,Robin Hood,Action Adventure,robin hood archer knight sherwood forest bow and arrow,Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong,Ridley Scott,/h7AKqgIh86HDgJIzENeR2ng1Knn.jpg
22,The Hobbit: The Desolation of Smaug,Adventure Fantasy,elves dwarves orcs hobbit dragon,Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish,Peter Jackson,/bSQjIZO9aJCJBqxGX3Sx2xtujzT.jpg
23,The Golden Compass,Adventure Fantasy,england compass experiment lordship uncle,Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green,Chris Weitz,/szAuHzSVFzamjCkkulopJZQVNYd.jpg
24,King Kong,Adventure Drama Action,film business screenplay show business film making film producer,Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks,Peter Jackson,/mRM2NB0i3wv4HqxXvwIjEVi4Qqq.jpg
25,Titanic,Drama Romance Thriller,shipwreck iceberg ship panic titanic,Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates,James Cameron,/6VmFqApQRyZZzmiGOQq2C92jyvH.jpg
26,Captain America: Civil War,Adventure Action Science Fiction,civil war war marvel comic sequel superhero,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo,/7FWlcZq3r6525LWOcvO9kNWurN1.jpg
27,Battleship,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg,/hgFIvyAAPvQ72jGOkAry6ZtDQo3.jpg
28,Jurassic World,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow,/yOCRqvrRrxbs5FYq2pX1KtLJwmR.jpg
29,Skyfall,Action Adventure Thriller,spy secret agent sociopath killer art gallery,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes,/hoQhlAskVNgLQhArnH7reWP4pUp.jpg
30,Spider-Man 2,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi,/6al048Lat3eLVQOuKtc9h6Tu94d.jpg
31,Iron Man 3,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black,/tKa1gmGKAUVYnflYcadipeL3d9h.jpg
32,Alice in Wonderland,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton,/20pkC7yJdCV4J1IMKfsCT9QU7zV.jpg
33,X-Men: The Last Stand,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner,/5ho0a0fcJRUOhdg9h98NvsNRvzu.jpg
34,Monsters University,Animation Family,monster dormitory games animation best friend,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon,/mIpCxBWNz6SHCQBe2K2PFr5MB7f.jpg
35,Transformers: Revenge of the Fallen,Science Fiction Action Adventure,egypt sun chaos symbol artifact,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay,/z0Q4R2h9Z94PXUpjPXL7HpjvvMF.jpg
36,Transformers: Age of Extinction,Science Fiction Action Adventure,sequel alien transformers giant robot robot,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay,/alItugxBbjNC10ezLSisplhSKJ.jpg
37,Oz: The Great and Powerful,Fantasy Adventure Family,circus witch magic hope illusion,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi,/a4KUVG5P5hBSgAgHHindbnyubTF.jpg
38,The Amazing Spider-Man 2,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb,/iWrDibFusV4JEz5Qw79RuWSGfX4.jpg
39,TRON: Legacy,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski,/zK7wNuUQ4w0QQp9FF20YTPVgpyN.jpg
40,Cars 2,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter,/jrlq8lWxB3OKjKwJ0kCjtg5fIII.jpg
41,Green Lantern,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell,/8EZ3hY4zhSorcRt4WtoaydsG3Ts.jpg
42,Toy Story 3,Animation Family Comedy,hostage college toy barbie animation,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich,/csDxOOSjfcJNNRo4ma8ltVynELV.jpg
43,Terminator Salvation,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG,/aSXqVCYz3FYuDRjihoqQiXtAVa6.jpg
44,Furious 7,Action,car race speed revenge suspense car,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan,/gyCHdpyPXmp7rqxE10nlImkzRo9.jpg
45,World War Z,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster,/31VpBgUX5O4Z3dn5ZbX8HLqoXH3.jpg
46,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer,/hUPgIibqZlwbhs4N08cPzzc4f5K.jpg
